id	name	kind	value	holderRaw	locationRaw	scenarioId	source
item-000	赤兔馬	名馬	30	呂布	原表空白	?	rlu-reference
item-001	的盧	名馬	15	劉備	原表空白	?	rlu-reference
item-002	爪黃飛電	名馬	10	曹操	原表空白	?	rlu-reference
item-003	絕影	名馬	10	曹操	原表空白	?	rlu-reference
item-004	大宛馬	名馬	8	王雙	原表空白	?	rlu-reference
item-005	大宛馬	名馬	8	原表空白	天水	?	rlu-reference
item-006	大宛馬	名馬	8	原表空白	武威	?	rlu-reference
item-007	七星寶刀	名劍	20	王允	原表空白	?	rlu-reference
item-008	倚天劍	名劍	12	曹操	原表空白	?	rlu-reference
item-009	青釭劍	名劍	12	夏侯恩	原表空白	?	rlu-reference
item-010	雌雄一對劍	名劍	12	劉備	原表空白	?	rlu-reference
item-011	方天畫戟	長柄	18	呂布	原表空白	?	rlu-reference
item-012	青龍偃月刀	長柄	18	關羽	原表空白	?	rlu-reference
item-013	蛇矛	長柄	18	張飛	原表空白	?	rlu-reference
item-014	流星鎚	暗器	7	王雙	原表空白	?	rlu-reference
item-015	飛刀	暗器	5	原表空白	武陵	?	rlu-reference
item-016	飛刀	暗器	5	祝融	原表空白	?	rlu-reference
item-017	短戟	暗器	4	典韋	原表空白	?	rlu-reference
item-018	短戟	暗器	4	原表空白	梓潼	?	rlu-reference
item-019	手戟	暗器	3	太史慈	原表空白	?	rlu-reference
item-020	手戟	暗器	3	孫策	原表空白	?	rlu-reference
item-021	鐵鎖	暗器	6	甘寧	原表空白	?	rlu-reference
item-022	養由基弓	名弓	20	原表空白	江陵	?	rlu-reference
item-023	李廣弓	名弓	18	原表空白	晉陽	?	rlu-reference
item-024	檀弓	名弓	8	原表空白	汝南	?	rlu-reference
item-025	檀弓	名弓	8	原表空白	長沙	?	rlu-reference
item-026	東胡飛弓	名弓	8	原表空白	襄平	?	rlu-reference
item-027	東胡飛弓	名弓	8	原表空白	北平	?	rlu-reference
item-028	貊弓	名弓	8	原表空白	薊	?	rlu-reference
item-029	貊弓	名弓	8	原表空白	南皮	?	rlu-reference
item-030	孫子兵法	書籍	30	孫堅	原表空白	?	rlu-reference
item-031	兵法二十四篇	書籍	20	諸葛亮	原表空白	?	rlu-reference
item-032	孟德新書	書籍	20	曹操	原表空白	?	rlu-reference
item-033	六韜	書籍	18	原表空白	下邳	?	rlu-reference
item-034	三略	書籍	18	原表空白	北海	?	rlu-reference
item-035	吳子	書籍	15	原表空白	吳	?	rlu-reference
item-036	尉繚子	書籍	15	原表空白	鄴	?	rlu-reference
item-037	戰國策	書籍	15	原表空白	長安	?	rlu-reference
item-038	司馬法	書籍	12	原表空白	北海	?	rlu-reference
item-039	墨子	書籍	12	原表空白	小沛	?	rlu-reference
item-040	太平要術	書籍	20	張角	原表空白	?	rlu-reference
item-041	玉璽	玉璽	50	原表空白	洛陽	?	rlu-reference
item-042	銅雀	銅雀	50	原表空白	平原	?	rlu-reference
