id	sourceId	name	stats	aptitudes	birth	death	appearance	skillId	status	source	relationsRaw	personality	gender
1000	635	劉備	75,73,74,78,99	ABABCC	161	223	184	skill-001	cross-checked	rlu-officers	義兄=劉備；親近武將=公孫瓚；親近武將_2=諸葛亮；親近武將_3=徐庶；親近武將_4=趙雲；親近武將_5=盧植；厭惡武將=蔡氏；厭惡武將_2=蔡瑁；厭惡武將_3=馬謖	剛膽	男
1001	98	關羽	95,97,75,62,93	SSBACA	162	219	184	skill-040	collected	rlu-officers	義兄=劉備；親近武將=周倉；親近武將_2=徐晃；親近武將_3=張遼；親近武將_4=趙累；厭惡武將=董卓；厭惡武將_2=糜芳；厭惡武將_3=傅士仁；厭惡武將_4=呂布	剛膽	男
1002	432	張飛	85,98,30,22,45	SSCACC	167	221	184	skill-041	collected	rlu-officers	義兄=劉備；親近武將=嚴顏；親近武將_2=龐統；親近武將_3=雷銅；厭惡武將=曹操；厭惡武將_2=董卓；厭惡武將_3=劉巴；厭惡武將_4=呂布	豬突	男
1003	395	趙雲	91,96,76,65,81	SBSSCB	168	229	187	skill-061	collected	rlu-officers	親近武將=諸葛亮；親近武將_2=陳到；親近武將_3=馬雲騄；親近武將_4=文鴦；親近武將_5=劉備	剛膽	男
1004	289	諸葛亮	92,38,100,95,92	BBSCSA	181	234	208	skill-063	cross-checked	rlu-officers	父親=20 25；親近武將=黃月英；親近武將_2=趙雲；親近武將_3=馬謖；親近武將_4=馬良；親近武將_5=劉備；厭惡武將=魏延；厭惡武將_2=譙周；厭惡武將_3=陳式；厭惡武將_4=廖立	冷靜	男
1005	185	黃忠	86,93,60,52,75	BSSACC	148	222	184	skill-044	collected	rlu-officers	親近武將=嚴顏；親近武將_2=法正；親近武將_3=劉磐	剛膽	男
2000	343	曹操	96,72,91,94,96	SSAABC	155	220	184	skill-057	cross-checked	rlu-officers	父親=20 28；配偶=卞氏；親近武將=郭嘉；親近武將_2=夏侯淵；親近武將_3=夏侯惇；親近武將_4=荀彧；親近武將_5=典韋；厭惡武將=孔融；厭惡武將_2=朱靈；厭惡武將_3=董卓；厭惡武將_4=楊修；厭惡武將_5=左慈	冷靜	男
2001	85	夏侯惇	89,90,58,70,81	ABCSBC	156	220	184	skill-037	collected	rlu-officers	父親=20 06；親近武將=夏侯淵；親近武將_2=曹洪；親近武將_3=曹仁；親近武將_4=曹操；親近武將_5=田疇	豬突	男
2002	254	荀彧	52,14,95,98,93	CBBCCC	163	212	184	skill-085	collected	rlu-officers	父親=20 20；親近武將=郭嘉；親近武將_2=鍾繇；親近武將_3=曹操；親近武將_4=程昱	冷靜	男
2003	78	夏侯淵	87,91,54,61,80	BBSSAC	162	219	184	skill-013	collected	rlu-officers	父親=20 08；親近武將=郭淮；親近武將_2=夏侯惇；親近武將_3=曹洪；親近武將_4=曹仁；親近武將_5=曹操	剛膽	男
2004	439	張遼	93,92,78,58,78	SSBSBC	169	222	188	skill-010	collected	rlu-officers	親近武將=樂進；親近武將_2=關羽；親近武將_3=高順；親近武將_4=李典；親近武將_5=呂布	剛膽	男
