officerId	bloodline	affinity	naturalDeath	source
1000	635	75	O	rlu-officers
1001	98	75	X	rlu-officers
1002	432	75	X	rlu-officers
1003	395	75	O	rlu-officers
1004	289	75	O	rlu-officers
1005	185	72	O	rlu-officers
2000	343	25	O	rlu-officers
2001	85	25	O	rlu-officers
2002	254	22	X	rlu-officers
2003	85	25	X	rlu-officers
2004	439	23	X	rlu-officers
2005	63	25	O	rlu-officers
3000	365	125	O	rlu-officers
3001	245	125	O	rlu-officers
3002	667	124	O	rlu-officers
3003	118	129	X	rlu-officers
3004	389	124	X	rlu-officers
3005	661	124	O	rlu-officers
10000	0	62	X	rlu-officers
10001	1	131	X	rlu-officers
10002	2	77	O	rlu-officers
10003	3	72	O	rlu-officers
10004	4	38	O	rlu-officers
10005	5	80	O	rlu-officers
10006	6	22	O	rlu-officers
10007	7	126	X	rlu-officers
10008	8	31	O	rlu-officers
10009	18	95	O	rlu-officers
10010	18	140	X	rlu-officers
10011	11	50	O	rlu-officers
10012	12	35	O	rlu-officers
10013	18	101	X	rlu-officers
10014	14	36	O	rlu-officers
10015	15	40	O	rlu-officers
10016	18	140	X	rlu-officers
10017	18	101	X	rlu-officers
10018	18	101	O	rlu-officers
10019	19	136	O	rlu-officers
10020	18	86	X	rlu-officers
10021	21	18	O	rlu-officers
10022	18	138	O	rlu-officers
10023	23	45	X	rlu-officers
10024	24	21	O	rlu-officers
10025	25	92	X	rlu-officers
10026	26	30	O	rlu-officers
10027	27	21	O	rlu-officers
10028	28	97	X	rlu-officers
10029	29	33	O	rlu-officers
10030	30	20	X	rlu-officers
10031	31	71	X	rlu-officers
10032	42	33	O	rlu-officers
10033	33	30	O	rlu-officers
10034	34	39	O	rlu-officers
10035	35	40	O	rlu-officers
10036	50	34	O	rlu-officers
10037	37	32	O	rlu-officers
10038	38	32	O	rlu-officers
10039	39	12	X	rlu-officers
10040	40	26	X	rlu-officers
10041	41	35	O	rlu-officers
10042	42	33	O	rlu-officers
10043	43	32	O	rlu-officers
10044	44	123	X	rlu-officers
10045	45	69	O	rlu-officers
10046	46	76	X	rlu-officers
10047	47	63	O	rlu-officers
10048	25	34	X	rlu-officers
10049	49	57	X	rlu-officers
10050	50	34	X	rlu-officers
10051	51	23	O	rlu-officers
10052	91	36	X	rlu-officers
10053	54	40	O	rlu-officers
10054	54	40	O	rlu-officers
10055	55	123	O	rlu-officers
10056	56	131	O	rlu-officers
10057	57	29	O	rlu-officers
10058	58	7	X	rlu-officers
10059	59	10	O	rlu-officers
10060	60	20	O	rlu-officers
10061	63	27	O	rlu-officers
10062	62	100	X	rlu-officers
10064	64	63	O	rlu-officers
10065	65	1	X	rlu-officers
10066	66	138	X	rlu-officers
10067	67	67	O	rlu-officers
10068	68	22	X	rlu-officers
10069	69	23	O	rlu-officers
10070	69	23	X	rlu-officers
10071	71	111	X	rlu-officers
10072	72	132	O	rlu-officers
10073	73	5	X	rlu-officers
10074	74	80	O	rlu-officers
10075	67	67	O	rlu-officers
10076	76	20	O	rlu-officers
10077	85	26	O	rlu-officers
10079	79	25	X	rlu-officers
10080	85	26	O	rlu-officers
10081	85	26	O	rlu-officers
10082	85	20	X	rlu-officers
10083	85	24	O	rlu-officers
10084	85	24	X	rlu-officers
10086	85	23	X	rlu-officers
10087	85	19	O	rlu-officers
10088	88	20	O	rlu-officers
10089	57	31	O	rlu-officers
10090	90	114	O	rlu-officers
10091	91	90	X	rlu-officers
10092	92	121	O	rlu-officers
10093	93	136	X	rlu-officers
10094	568	60	O	rlu-officers
10095	95	1	X	rlu-officers
10096	98	75	X	rlu-officers
