officerId	targetId	kind	field	raw	source
1000	1003	LIKE	親近武將_4	趙雲	rlu-officers
1000	1004	LIKE	親近武將_2	諸葛亮	rlu-officers
1000	10180	LIKE	親近武將	公孫瓚	rlu-officers
1000	10217	DISLIKE	厭惡武將	蔡氏	rlu-officers
1000	10219	DISLIKE	厭惡武將_2	蔡瑁	rlu-officers
1000	10293	LIKE	親近武將_3	徐庶	rlu-officers
1000	10511	DISLIKE	厭惡武將_3	馬謖	rlu-officers
1000	10669	LIKE	親近武將_5	盧植	rlu-officers
1001	1000	SWORN	義兄	劉備	rlu-officers
1001	2004	LIKE	親近武將_3	張遼	rlu-officers
1001	10241	LIKE	親近武將	周倉	rlu-officers
1001	10290	LIKE	親近武將_2	徐晃	rlu-officers
1001	10441	LIKE	親近武將_4	趙累	rlu-officers
1001	10493	DISLIKE	厭惡武將	董卓	rlu-officers
1001	10533	DISLIKE	厭惡武將_2	糜芳	rlu-officers
1001	10538	DISLIKE	厭惡武將_3	傅士仁	rlu-officers
1001	10660	DISLIKE	厭惡武將_4	呂布	rlu-officers
1002	1000	SWORN	義兄	劉備	rlu-officers
1002	2000	DISLIKE	厭惡武將	曹操	rlu-officers
1002	10154	LIKE	親近武將	嚴顏	rlu-officers
1002	10493	DISLIKE	厭惡武將_2	董卓	rlu-officers
1002	10557	LIKE	親近武將_2	龐統	rlu-officers
1002	10592	LIKE	親近武將_3	雷銅	rlu-officers
1002	10633	DISLIKE	厭惡武將_3	劉巴	rlu-officers
1002	10660	DISLIKE	厭惡武將_4	呂布	rlu-officers
1003	1000	LIKE	親近武將_5	劉備	rlu-officers
1003	1004	LIKE	親近武將	諸葛亮	rlu-officers
1003	10456	LIKE	親近武將_2	陳到	rlu-officers
1003	10505	LIKE	親近武將_3	馬雲騄	rlu-officers
1003	10542	LIKE	親近武將_4	文鴦	rlu-officers
1004	1000	LIKE	親近武將_5	劉備	rlu-officers
1004	1003	LIKE	親近武將_2	趙雲	rlu-officers
1004	10124	DISLIKE	厭惡武將	魏延	rlu-officers
1004	10165	LIKE	親近武將	黃月英	rlu-officers
1004	10269	DISLIKE	厭惡武將_2	譙周	rlu-officers
1004	10452	DISLIKE	厭惡武將_3	陳式	rlu-officers
1004	10511	LIKE	親近武將_3	馬謖	rlu-officers
1004	10519	LIKE	親近武將_4	馬良	rlu-officers
1004	10652	DISLIKE	厭惡武將_4	廖立	rlu-officers
1005	10154	LIKE	親近武將	嚴顏	rlu-officers
