id	name	year	month	kind	status	source
pcpk-huangjin	黄巾之乱	184	1	historical	incomplete	wiki-scenarios
pcpk-anti-dongzhuo	反董卓联合	190	1	historical	incomplete	wiki-scenarios
pcpk-rival-warlords	群雄割据	194	6	historical	incomplete	wiki-scenarios
pcpk-guandu	官渡之战	200	1	historical	incomplete	wiki-scenarios
pcpk-three-visits	三顾茅庐	207	9	historical	incomplete	wiki-scenarios
pcpk-liubei-shu	刘备入蜀	211	7	historical	incomplete	wiki-scenarios
pcpk-nanman	南蛮征伐	225	7	historical	incomplete	wiki-scenarios
pcpk-heroes	英雄集结	251	1	fictional	incomplete	wiki-scenarios
pcpk-lubu	吕布讨伐战	198	1	historical	incomplete	wiki-scenarios
pcpk-yuan-family	袁家之战	203	1	historical	incomplete	wiki-scenarios
pcpk-hanzhong	汉中争夺战	217	7	historical	incomplete	wiki-scenarios
pcpk-hejin	何进包围网	187	4	fictional	incomplete	wiki-scenarios
pcpk-early-conqueror	序之争夺者	191	7	fictional	incomplete	wiki-scenarios
pcpk-women	女流之战	251	1	fictional	incomplete	wiki-scenarios
