id	name	kind	rawX	rawY	durability	coordinateStatus	source
20000	襄平	city	174	16	2600	collected	rlu-reference
20001	北平	city	149	20	3000	collected	rlu-reference
20002	薊	city	122	16	3400	collected	rlu-reference
20003	南皮	city	138	37	3600	collected	rlu-reference
20004	平原	city	129	54	2700	collected	rlu-reference
20005	晉陽	city	91	39	2600	collected	rlu-reference
20006	鄴	city	109	53	4000	collected	rlu-reference
20007	北海	city	160	51	2400	collected	rlu-reference
20008	下邳	city	156	77	3700	collected	rlu-reference
20009	小沛	city	136	77	2200	collected	rlu-reference
20010	壽春	city	140	96	2800	collected	rlu-reference
20011	濮陽	city	120	71	3900	collected	rlu-reference
20012	陳留	city	108	79	3600	collected	rlu-reference
20013	許昌	city	99	92	4000	collected	rlu-reference
20014	汝南	city	113	107	2700	collected	rlu-reference
20015	洛陽	city	79	76	5000	collected	rlu-reference
20016	宛	city	77	92	3800	collected	rlu-reference
20017	長安	city	53	73	5000	collected	rlu-reference
20018	上庸	city	54	102	2400	collected	rlu-reference
20019	安定	city	28	55	2800	collected	rlu-reference
20020	天水	city	10	71	2600	collected	rlu-reference
20021	武威	city	9	41	3600	collected	rlu-reference
20022	建業	city	162	104	4100	collected	rlu-reference
20023	吳	city	182	109	3400	collected	rlu-reference
20024	會稽	city	184	125	3000	collected	rlu-reference
20025	廬江	city	146	118	3000	collected	rlu-reference
20026	柴桑	city	126	133	2800	collected	rlu-reference
20027	江夏	city	115	121	3400	collected	rlu-reference
20028	新野	city	87	109	2400	collected	rlu-reference
20029	襄陽	city	77	117	4600	collected	rlu-reference
20030	江陵	city	82	137	4000	collected	rlu-reference
20031	長沙	city	108	164	3600	collected	rlu-reference
20032	武陵	city	69	155	3000	collected	rlu-reference
20033	桂陽	city	99	188	2800	collected	rlu-reference
20034	零陵	city	70	185	2400	collected	rlu-reference
20035	永安	city	46	128	3000	collected	rlu-reference
20036	漢中	city	27	89	4600	collected	rlu-reference
20037	梓潼	city	16	110	3000	collected	rlu-reference
20038	江州	city	30	147	2600	collected	rlu-reference
20039	成都	city	10	132	4800	collected	rlu-reference
20040	建寧	city	27	174	2600	collected	rlu-reference
20041	雲南	city	5	191	3000	collected	rlu-reference
20042	壺	gate	92	57	4000	unknown	rlu-reference
20043	虎牢	gate	90	77	6000	unknown	rlu-reference
20044	潼	gate	68	78	3500	unknown	rlu-reference
20045	函谷	gate	68	86	3500	unknown	rlu-reference
20046	武	gate	61	77	3500	unknown	rlu-reference
20047	陽平	gate	27	83	4000	unknown	rlu-reference
20048	劍閣	gate	23	102	4000	unknown	rlu-reference
20049	葭萌	gate	8	125	3500	unknown	rlu-reference
20050	涪水	gate	14	97	3500	unknown	rlu-reference
20051	綿竹	gate	11	119	4000	unknown	rlu-reference
20052	安平	port	168	28	2000	unknown	rlu-reference
20053	高唐	port	79	155	2000	unknown	rlu-reference
20054	西河	port	134	57	2000	unknown	rlu-reference
20055	白馬	port	59	55	2000	unknown	rlu-reference
20056	昌陽	port	110	63	2000	unknown	rlu-reference
20057	臨濟	port	65	65	2000	unknown	rlu-reference
20058	海陵	port	145	54	2000	unknown	rlu-reference
20059	江都	port	176	48	2000	unknown	rlu-reference
20060	濡須	port	123	66	2000	unknown	rlu-reference
20061	頓丘	port	166	78	2000	unknown	rlu-reference
20062	官渡	port	101	72	2000	unknown	rlu-reference
20063	孟津	port	108	123	2000	unknown	rlu-reference
20064	解縣	port	79	70	2000	unknown	rlu-reference
20065	新豐	port	173	87	2000	unknown	rlu-reference
20066	夏陽	port	148	110	2000	unknown	rlu-reference
20067	房陵	port	143	122	2000	unknown	rlu-reference
20068	蕪湖	port	81	109	2000	unknown	rlu-reference
20069	虎林	port	59	105	2000	unknown	rlu-reference
20070	曲阿	port	64	74	2000	unknown	rlu-reference
20071	句章	port	63	49	2000	unknown	rlu-reference
20072	皖口	port	163	109	2000	unknown	rlu-reference
20073	九江	port	132	129	2000	unknown	rlu-reference
20074	陸口	port	187	118	2000	unknown	rlu-reference
20075	鄱陽	port	177	101	2000	unknown	rlu-reference
20076	盧陵	port	116	137	2000	unknown	rlu-reference
20077	夏口	port	161	122	2000	unknown	rlu-reference
20078	湖陽	port	146	142	2000	unknown	rlu-reference
20079	中廬	port	74	146	2000	unknown	rlu-reference
20080	烏林	port	99	133	2000	unknown	rlu-reference
20081	漢津	port	73	137	2000	unknown	rlu-reference
20082	江津	port	138	167	2000	unknown	rlu-reference
20083	羅縣	port	54	130	2000	unknown	rlu-reference
20084	洞庭	port	70	110	2000	unknown	rlu-reference
20085	公安	port	100	148	2000	unknown	rlu-reference
20086	巫縣	port	89	125	2000	unknown	rlu-reference
