id	name	source
skill-000	飛將	rlu-reference
skill-001	遁走	rlu-reference
skill-002	強行	rlu-reference
skill-003	長驅	rlu-reference
skill-004	推進	rlu-reference
skill-005	操舵	rlu-reference
skill-006	踏破	rlu-reference
skill-007	搬運	rlu-reference
skill-008	解毒	rlu-reference
skill-009	掃蕩	rlu-reference
skill-010	威風	rlu-reference
skill-011	昂揚	rlu-reference
skill-012	連擊	rlu-reference
skill-013	突襲	rlu-reference
skill-014	強襲	rlu-reference
skill-015	亂戰	rlu-reference
skill-016	待伏	rlu-reference
skill-017	攻城	rlu-reference
skill-018	掎角	rlu-reference
skill-019	捕縛	rlu-reference
skill-020	精妙	rlu-reference
skill-021	掠奪	rlu-reference
skill-022	攻心	rlu-reference
skill-023	驅逐	rlu-reference
skill-024	射程	rlu-reference
skill-025	白馬	rlu-reference
skill-026	輔佐	rlu-reference
skill-027	不屈	rlu-reference
skill-028	金剛	rlu-reference
skill-029	鐵壁	rlu-reference
skill-030	怒髮	rlu-reference
skill-031	藤甲	rlu-reference
skill-032	強運	rlu-reference
skill-033	血路	rlu-reference
skill-034	槍將	rlu-reference
skill-035	戟將	rlu-reference
skill-036	弓將	rlu-reference
skill-037	騎將	rlu-reference
skill-038	水將	rlu-reference
skill-039	勇將	rlu-reference
skill-040	神將	rlu-reference
skill-041	鬥神	rlu-reference
skill-042	槍神	rlu-reference
skill-043	戟神	rlu-reference
skill-044	弓神	rlu-reference
skill-045	騎神	rlu-reference
skill-046	工神	rlu-reference
skill-047	水神	rlu-reference
skill-048	霸王	rlu-reference
skill-049	疾馳	rlu-reference
skill-050	射手	rlu-reference
skill-051	猛者	rlu-reference
skill-052	護衛	rlu-reference
skill-053	火攻	rlu-reference
skill-054	言毒	rlu-reference
skill-055	機智	rlu-reference
skill-056	詭計	rlu-reference
skill-057	虛實	rlu-reference
skill-058	妙計	rlu-reference
skill-059	秘計	rlu-reference
skill-060	看破	rlu-reference
skill-061	洞察	rlu-reference
skill-062	火神	rlu-reference
skill-063	神算	rlu-reference
skill-064	百出	rlu-reference
skill-065	鬼謀	rlu-reference
skill-066	連環	rlu-reference
skill-067	深謀	rlu-reference
skill-068	反計	rlu-reference
skill-069	傾國	rlu-reference
skill-070	妖術	rlu-reference
skill-071	鬼門	rlu-reference
skill-072	規律	rlu-reference
skill-073	沉著	rlu-reference
skill-074	明鏡	rlu-reference
skill-075	奏樂	rlu-reference
skill-076	詩想	rlu-reference
skill-077	築城	rlu-reference
skill-078	屯田	rlu-reference
skill-079	名聲	rlu-reference
skill-080	能吏	rlu-reference
skill-081	繁殖	rlu-reference
skill-082	發明	rlu-reference
skill-083	造船	rlu-reference
skill-084	指導	rlu-reference
skill-085	眼力	rlu-reference
skill-086	論客	rlu-reference
skill-087	富豪	rlu-reference
skill-088	米道	rlu-reference
skill-089	徵稅	rlu-reference
skill-090	徵收	rlu-reference
skill-091	親烏	rlu-reference
skill-092	親羌	rlu-reference
skill-093	親越	rlu-reference
skill-094	親蠻	rlu-reference
skill-095	威壓	rlu-reference
skill-096	仁政	rlu-reference
skill-097	風水	rlu-reference
skill-098	祈願	rlu-reference
skill-099	內助	rlu-reference
