type	level	lod	asset	states	status
domestic/MARKET	1	0	domestic-MARKET-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	1	1	domestic-MARKET-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	1	2	domestic-MARKET-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	2	0	domestic-MARKET-2-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	2	1	domestic-MARKET-2-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	2	2	domestic-MARKET-2-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	3	0	domestic-MARKET-3-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	3	1	domestic-MARKET-3-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MARKET	3	2	domestic-MARKET-3-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	1	0	domestic-FARM-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	1	1	domestic-FARM-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	1	2	domestic-FARM-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	2	0	domestic-FARM-2-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	2	1	domestic-FARM-2-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	2	2	domestic-FARM-2-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	3	0	domestic-FARM-3-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	3	1	domestic-FARM-3-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/FARM	3	2	domestic-FARM-3-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	1	0	domestic-BARRACKS-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	1	1	domestic-BARRACKS-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	1	2	domestic-BARRACKS-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	2	0	domestic-BARRACKS-2-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	2	1	domestic-BARRACKS-2-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	2	2	domestic-BARRACKS-2-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	3	0	domestic-BARRACKS-3-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BARRACKS	3	1	domestic-BARRACKS-3-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
