scenario	id	name	kind	asset	yaw	scale	damage	status
huangjin-184	20000	襄平	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20001	北平	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20002	薊	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20003	南皮	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20004	平原	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20005	晉陽	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20006	鄴	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20007	北海	CITY	city1	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20008	下邳	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20009	小沛	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20010	壽春	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20011	濮陽	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20012	陳留	CITY	city2	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20013	許昌	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20014	汝南	CITY	city2	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20015	洛陽	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20016	宛	CITY	city2	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20017	長安	CITY	city2	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20018	上庸	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20019	安定	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20020	天水	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20021	武威	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20022	建業	CITY	city1	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20023	吳	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
huangjin-184	20024	會稽	CITY	city0	0.0	0.96	0	TRANSITIONAL_ART
