figure,file,sha256,pixels,captureDate,source,apkSha256,scenario,player,region,centerWorld,span,yaw,tilt,quality,grid_requested,territory_requested,turn,UI,PC_reference,caveat
F01S,runtime/images/r09-luoyang-5-0-surface.png,c9162464acace1094e7740abb4f5e018da9cd83085292eeb0b0b6d1ecdd84fe3,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",5.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F01U,runtime/images/r09-luoyang-5-0-ui.png,008e44b540a829c8bd9021b6a593dbe3846cdb6de01ccd8365a944bf5663e618,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",5.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F02S,runtime/images/r09-luoyang-5-90-surface.png,96f3fb68ba6ed0b7a89bd35befd3587f45bde0059d4846d592438c529563d77c,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",5.0,90.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F02U,runtime/images/r09-luoyang-5-90-ui.png,6068ecc7ac6d699fcee595f34b5c864cb60ceafe58f50d876d0ab20701ca60e5,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",5.0,90.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F03S,runtime/images/r09-luoyang-14-0-surface.png,e3c9492fb7955da41725201ae57c353054d05e24e6b9badfe66e117c3315391c,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",14.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F03U,runtime/images/r09-luoyang-14-0-ui.png,82adbab3d20d964996cde3cef3182f32cc3c2d8e316bab5c6c5f8d657a727d41,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",14.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F04S,runtime/images/r09-luoyang-14-90-surface.png,580c11ccb8805ae4ddc84759127d499b3750918f1cb4bed9eafc283c12a8f2bc,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",14.0,90.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F04U,runtime/images/r09-luoyang-14-90-ui.png,9afbe9d8452ac024a413c65637657208e7f49d9ce3fe9a9aadb282659bccd414,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",14.0,90.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F05S,runtime/images/r09-luoyang-22-0-surface.png,9e11f4d25d78472284d84d4b5fa40d2da4d8f409c0253f3c041a6a9b2c778591,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",22.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F05U,runtime/images/r09-luoyang-22-0-ui.png,cd4fc8315a7b28dcb48a75aecd44c4c00806b950bbc2310d8b2c25b3b26767e6,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",22.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
